[DEBUG] [2023-02-01 01:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bafcb5da3025455186f5cd1f9f3cbd96, msgType : 19
[DEBUG] [2023-02-01 01:05:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dbe5eae467ec4966b3ce5bee39cb47d5, msgType : 19
[DEBUG] [2023-02-01 01:05:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 88992c4e2de842ca96f1da6275efcbed, msgType : 19
[DEBUG] [2023-02-01 01:05:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9f37c17f4bc742eebce5468e2c06c635, msgType : 19
[DEBUG] [2023-02-01 01:05:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 67e2c1c8073b47c1a24743c9fbfa52fe, msgType : 19
[DEBUG] [2023-02-01 01:05:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 41e85ef8318b4c1fabeec42cbbf99ad3, msgType : 19
[DEBUG] [2023-02-01 01:05:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3a33c9e9074644d6b1c7f038fc825e05, msgType : 19
[DEBUG] [2023-02-01 01:05:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 55a0d6cb3fc94c1a874dbb92a7982a9c, msgType : 19
[DEBUG] [2023-02-01 01:05:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 40dfe00a899e4e12846d8aacb9b22797, msgType : 19
[DEBUG] [2023-02-01 01:05:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0bdce2be808740fb9649b81d8c5aed51, msgType : 19
[DEBUG] [2023-02-01 01:05:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e7371f19ffc84b67b1b55e05f021b90f, msgType : 19
[DEBUG] [2023-02-01 01:05:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6eb6da733bb14cf98e27054f095425b1, msgType : 19
[DEBUG] [2023-02-01 01:05:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7d2427886b31488784ac46892a2d8783, msgType : 19
[DEBUG] [2023-02-01 01:05:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1310c6b7e6f54f2392c3e9bf7524d6b3, msgType : 19
[DEBUG] [2023-02-01 01:05:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5ba7ec17457e478a97dcda210c8ef977, msgType : 19
[DEBUG] [2023-02-01 01:05:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cf87699df1ca45a6925dbb5f7328f246, msgType : 19
[DEBUG] [2023-02-01 01:05:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 046b4af4a402436f8598805993aabdfd, msgType : 19
[DEBUG] [2023-02-01 01:05:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b219ff6778bc4586bd3439fbb4243598, msgType : 19
[DEBUG] [2023-02-01 01:05:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ce5d3345b46b43a885892f6940f5f0ec, msgType : 19
[DEBUG] [2023-02-01 01:05:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2b417001e5c9473e8d3261004151a51e, msgType : 19
[DEBUG] [2023-02-01 01:05:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 926f5ad784cb436b89253a1008a759ba, msgType : 19
[DEBUG] [2023-02-01 01:05:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 38d06aa4f4464d6fac6a88a5916d800f, msgType : 19
[DEBUG] [2023-02-01 01:05:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 37dff34bde584b9793cd91ee008ac2a8, msgType : 19
[DEBUG] [2023-02-01 01:05:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6a0c70916105406d9499ad13dc634fa2, msgType : 19
[DEBUG] [2023-02-01 01:05:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d5ecf7d93c7b4434a717ed954493e089, msgType : 19
[DEBUG] [2023-02-01 01:05:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 78743f79441840678c4f845e23979245, msgType : 19
[DEBUG] [2023-02-01 01:05:47] NioEventLoop.run(505) | Selector.select() returned prematurely 3 times in a row for Selector io.netty.channel.nio.SelectedSelectionKeySetSelector@fca4c3f.
[DEBUG] [2023-02-01 01:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1492a9b97466465cbf99c0051dff28ec, msgType : 19
[DEBUG] [2023-02-01 01:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : deb5f20f8a5c40fc817d9edc40919df4, msgType : 19
[DEBUG] [2023-02-01 01:05:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6ea7d886f84f49888288bbc26643bbf3, msgType : 19
[DEBUG] [2023-02-01 01:05:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 086dc7d7e7c44fd284be3e7df9a73197, msgType : 19
[DEBUG] [2023-02-01 01:05:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 92f06e1516ea4f249190bb64a9b7533b, msgType : 19
[DEBUG] [2023-02-01 01:05:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 97ec6a183f5d4ee7b76aed18c2f7c516, msgType : 19
[DEBUG] [2023-02-01 01:05:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 43e84e420d374ab7b3ec3f54134b2bb8, msgType : 19
[DEBUG] [2023-02-01 01:05:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f39e88d25697420ab2cf5e76dbdc1a77, msgType : 19
[DEBUG] [2023-02-01 01:05:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6bcc6a061c494530b16af18a3c63a193, msgType : 19
[DEBUG] [2023-02-01 01:05:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 43d53458da7a41efac7b615f6131cc02, msgType : 19
[DEBUG] [2023-02-01 01:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3d34f7ec324247ccb78566526cdc4399, msgType : 19
[DEBUG] [2023-02-01 01:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0b4d4ea42ad145a682d35d23625f2ae2, msgType : 19
[DEBUG] [2023-02-01 01:06:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 268f5a8e44ff443db44bf1a2ff79a31f, msgType : 19
[DEBUG] [2023-02-01 01:06:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7d5b2056c84b497ebd17616b7efb81d0, msgType : 19
[DEBUG] [2023-02-01 01:06:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 58d3eff5e55e4b9790b94fc4b5b3e9ae, msgType : 19
[DEBUG] [2023-02-01 01:06:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f5a476379ff34204ab5305fc0d368088, msgType : 19
[DEBUG] [2023-02-01 01:06:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1bd300989b8243a78993fd60be5e7b5b, msgType : 19
[DEBUG] [2023-02-01 01:06:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9e20cec5f8b74c37a705b5be399e8d37, msgType : 19
[DEBUG] [2023-02-01 01:06:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1f8563d3730a4d5b9024fd50a17f527c, msgType : 18
[DEBUG] [2023-02-01 01:06:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : feb0a8cf02644653a566f77fafb29a75, msgType : 18
[DEBUG] [2023-02-01 01:06:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d67701b48ec24652829736d0423b295f, msgType : 19
[DEBUG] [2023-02-01 01:06:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : aaac66c99e5e4abda8d24d402be51f2e, msgType : 19
[DEBUG] [2023-02-01 01:06:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4ca12a823ee2425ba2a0ce146c19592b, msgType : 19
[DEBUG] [2023-02-01 01:06:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3f552e5a9d7640389f960e6cf0fccaf0, msgType : 19
[DEBUG] [2023-02-01 01:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 679bbb5418ba403f9218d05298d349c5, msgType : 19
[DEBUG] [2023-02-01 01:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a3f41f76cc9b449a9a46a1801de08791, msgType : 19
[DEBUG] [2023-02-01 01:06:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 644f1da2c6c64c368ae31c05220b2bb4, msgType : 19
[DEBUG] [2023-02-01 01:06:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : da975e86f4cc4aaea9b22e87065d3d29, msgType : 19
[DEBUG] [2023-02-01 01:06:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:13] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:13] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 524, groupId: 1
[DEBUG] [2023-02-01 01:06:13] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 524, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:13] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:13] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 524, groupId: 1
[DEBUG] [2023-02-01 01:06:13] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 524, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:14] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:14] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 525, groupId: 1
[DEBUG] [2023-02-01 01:06:14] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 525, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:14] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:14] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 525, groupId: 1
[DEBUG] [2023-02-01 01:06:14] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 525, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:14] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:14] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 526, groupId: 1
[DEBUG] [2023-02-01 01:06:14] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 526, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:14] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:14] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 526, groupId: 1
[DEBUG] [2023-02-01 01:06:14] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 526, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:15] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 527, groupId: 1
[DEBUG] [2023-02-01 01:06:15] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 527, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:15] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 527, groupId: 1
[DEBUG] [2023-02-01 01:06:15] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 527, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : dc1d3a6db96242baacfe14f193009a4f, msgType : 19
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c61ebd320d8f46078a5c30e1c96308cc, msgType : 19
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:15] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 528, groupId: 1
[DEBUG] [2023-02-01 01:06:15] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 528, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:15] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:15] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 528, groupId: 1
[DEBUG] [2023-02-01 01:06:15] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 528, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:16] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:16] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 529, groupId: 1
[DEBUG] [2023-02-01 01:06:16] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 529, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:16] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:16] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 529, groupId: 1
[DEBUG] [2023-02-01 01:06:16] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 529, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:16] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:16] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 530, groupId: 1
[DEBUG] [2023-02-01 01:06:16] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 530, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:16] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:16] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 530, groupId: 1
[DEBUG] [2023-02-01 01:06:16] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 530, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:17] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 531, groupId: 1
[DEBUG] [2023-02-01 01:06:17] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 531, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:17] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 531, groupId: 1
[DEBUG] [2023-02-01 01:06:17] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 531, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6b912cd32f9d49c7b7a6128a8b68da86, msgType : 19
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 89ca178bdd2f42d89598d34cbdb9e569, msgType : 19
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:17] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 532, groupId: 1
[DEBUG] [2023-02-01 01:06:17] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 532, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:17] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:17] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 532, groupId: 1
[DEBUG] [2023-02-01 01:06:17] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 532, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:18] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:18] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 533, groupId: 1
[DEBUG] [2023-02-01 01:06:18] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 533, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 01:06:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 01:06:18] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 01:06:18] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 533, groupId: 1
[DEBUG] [2023-02-01 01:06:18] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 533, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 01:06:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 388814914c37445797f1be4a00457d05, msgType : 19
[DEBUG] [2023-02-01 01:06:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b29a2661c6864af49a6034716a577128, msgType : 19
[DEBUG] [2023-02-01 01:06:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 19a1bc774b674a1fac72ef2dce74946f, msgType : 19
[DEBUG] [2023-02-01 01:06:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1b89c9ea1f6845cc900af4dbab2642e6, msgType : 19
[DEBUG] [2023-02-01 01:06:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a8a719d541804d01938f5c6e915cbf5b, msgType : 19
[DEBUG] [2023-02-01 01:06:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 938bb7fbc28443e78d7d77764920d4c9, msgType : 19
[DEBUG] [2023-02-01 01:06:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 90b9be69da7641c189ea865bcac779ef, msgType : 19
[DEBUG] [2023-02-01 01:06:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c08878ccf7a14e57bfef0773bf19df60, msgType : 19
[DEBUG] [2023-02-01 01:06:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a8cda9ef89694d39a486ce4b9a811698, msgType : 19
[DEBUG] [2023-02-01 01:06:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 32ec8554e35e4f3aa5c5ff312be3b8dd, msgType : 19
