[DEBUG] [2023-01-31 13:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 14602082081e42e3afa0105c8745e7ba, msgType : 19
[DEBUG] [2023-01-31 13:09:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0b4bc8c2a5bf4245ad1c6edfff526ecf, msgType : 19
[DEBUG] [2023-01-31 13:09:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cd7ed2b95b974fc6ad88c1f80dac5ae0, msgType : 19
[DEBUG] [2023-01-31 13:09:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a4706cdd2fc241519241d50b00557cc1, msgType : 19
[DEBUG] [2023-01-31 13:09:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cd63c640720d4b7c927fcb93dc3a72d6, msgType : 19
[DEBUG] [2023-01-31 13:09:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 24dc63613d774c7983d25247ff93c775, msgType : 19
[DEBUG] [2023-01-31 13:09:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 645b719ef23748ca9022b74751b2315b, msgType : 19
[DEBUG] [2023-01-31 13:09:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a5815e85e37f450e9e38ff6dbc038530, msgType : 19
[DEBUG] [2023-01-31 13:09:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f2bfcd052a124b359455fb8afcb2900c, msgType : 19
[DEBUG] [2023-01-31 13:09:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4a08ff1b111b46d2a297fc1b385b0902, msgType : 19
[DEBUG] [2023-01-31 13:09:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a4acb7b77c8848bea76d6f528e9ee73b, msgType : 19
[DEBUG] [2023-01-31 13:09:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5a2fffcd29964a708cd7dd3b8245cede, msgType : 19
[DEBUG] [2023-01-31 13:09:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 979fe77dbaa24d7f99f9d49a4cc98308, msgType : 19
[DEBUG] [2023-01-31 13:09:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6a491c7744cb4d9b8cc44eed3199a5f1, msgType : 19
[DEBUG] [2023-01-31 13:09:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 993fee5147664caea9c75d6db9d9dd36, msgType : 19
[DEBUG] [2023-01-31 13:09:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c3a8dfd3104f41ad957e7b7ee89a1e7e, msgType : 19
[DEBUG] [2023-01-31 13:09:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a39d53252904493fa01fc7713f2672fc, msgType : 19
[DEBUG] [2023-01-31 13:09:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1678198d3429481daf81c517e450cc4a, msgType : 19
[DEBUG] [2023-01-31 13:09:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 49e82e5a0bec4071a49e0673d5f7e1fa, msgType : 19
[DEBUG] [2023-01-31 13:09:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8f36846fadbe4d8ebf4ae7b60c5b2fc9, msgType : 19
[DEBUG] [2023-01-31 13:09:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b87ac0724cd446cba27bd1f5995eb5cf, msgType : 19
[DEBUG] [2023-01-31 13:09:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c03ddb1502cc4c40b341b2ce5fb3f79c, msgType : 19
[DEBUG] [2023-01-31 13:09:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ce12393e82af4903a867186271a6fcf4, msgType : 19
[DEBUG] [2023-01-31 13:09:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7645dbf853634f16a8dc88bbf2820824, msgType : 19
[DEBUG] [2023-01-31 13:09:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 10c6e1b45b5743208acc71f5e16c5571, msgType : 19
[DEBUG] [2023-01-31 13:09:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b0e186843c3d41a89dfb09410df11cea, msgType : 19
[DEBUG] [2023-01-31 13:09:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2336c2bb771b47fd931deadff9db5330, msgType : 19
[DEBUG] [2023-01-31 13:09:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7b2d13246e2f4287a952a58e9cc800f4, msgType : 19
[DEBUG] [2023-01-31 13:09:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 002005269e1346a8aad038d58e1938c2, msgType : 19
[DEBUG] [2023-01-31 13:09:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5baa87a99feb49e6b824701e3925bd55, msgType : 19
[DEBUG] [2023-01-31 13:09:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8565e73dc0c74805bcc80c99783dcd04, msgType : 19
[DEBUG] [2023-01-31 13:09:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 290cc5ae038f44d788b070ff0b2a396b, msgType : 19
[DEBUG] [2023-01-31 13:09:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b98237d1939b47f0b8a0a3c0649696b3, msgType : 19
[DEBUG] [2023-01-31 13:09:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0a5039f766c041ff8826d74ba0f82c26, msgType : 19
[DEBUG] [2023-01-31 13:09:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1f59240bee4942f0b7e4e3c3841dd20f, msgType : 19
[DEBUG] [2023-01-31 13:09:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d2e02c8d8f244e1aab6b772e52fdced1, msgType : 19
[DEBUG] [2023-01-31 13:10:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c51cfdf2f9924d1da3db8943536b5e76, msgType : 19
[DEBUG] [2023-01-31 13:10:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6d0fb909447446429ba07679294bda7d, msgType : 19
[DEBUG] [2023-01-31 13:10:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2d0db16872734f7a970d17adabe3945b, msgType : 19
[DEBUG] [2023-01-31 13:10:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 13425cd1faaf4ec4ad85ed463ffd5ce0, msgType : 19
[DEBUG] [2023-01-31 13:10:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d8e4c558093b44b8b68e7ac5cd6a2338, msgType : 19
[DEBUG] [2023-01-31 13:10:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0c4969c87d32481ea907b0a5bb0d67aa, msgType : 19
[DEBUG] [2023-01-31 13:10:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5cf279be84dd4653b2adf0ffebfc3254, msgType : 18
[DEBUG] [2023-01-31 13:10:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bcb1508b23f549569c6ec1ead04af3be, msgType : 18
[DEBUG] [2023-01-31 13:10:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a76eae0572fb4ea5a977dcb60810db6e, msgType : 19
[DEBUG] [2023-01-31 13:10:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fa6b2e9acf004008b582442e8c8d5bec, msgType : 19
[DEBUG] [2023-01-31 13:10:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b343d04524704efd924d2d263866a2aa, msgType : 19
[DEBUG] [2023-01-31 13:10:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7f91d4f6a8bd444fb92e3cd2434ec91b, msgType : 19
[DEBUG] [2023-01-31 13:10:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 58e13acaa7104d04b69afd6e2c776374, msgType : 19
[DEBUG] [2023-01-31 13:10:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3115f0c8283149ddbf417b2a47e12e5d, msgType : 19
[DEBUG] [2023-01-31 13:10:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 307d3e50c8c44a4b97bfde48e2a59836, msgType : 19
[DEBUG] [2023-01-31 13:10:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7426bf8142a14fa3a8ab3f0396062811, msgType : 19
[DEBUG] [2023-01-31 13:10:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fb662196d356483d94d4ae0078d9bd10, msgType : 19
[DEBUG] [2023-01-31 13:10:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a2daca4531ea4e9398c7461b8d3da3a0, msgType : 19
[DEBUG] [2023-01-31 13:10:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : df51e809a44c43b59b4293f6592402ae, msgType : 19
[DEBUG] [2023-01-31 13:10:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6ba2cf807a6b40289dd4759ea76f630e, msgType : 19
[DEBUG] [2023-01-31 13:10:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 76f1f7532f9f4b8b975392af3f3ad599, msgType : 19
[DEBUG] [2023-01-31 13:10:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9810884aec62473497a0c7b51d66d0d4, msgType : 19
[DEBUG] [2023-01-31 13:10:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2b0e65a77228491daae937c59103ce21, msgType : 19
[DEBUG] [2023-01-31 13:10:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 35bedde902b74043ae3cc5bf4cb3e6a3, msgType : 19
[DEBUG] [2023-01-31 13:10:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 787b98127b8744fbb364cb94f5e363ea, msgType : 19
[DEBUG] [2023-01-31 13:10:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ef3bf364a54a4ad3af817d95203969ba, msgType : 19
[DEBUG] [2023-01-31 13:10:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e75c921aac4b412e9f42f9ed832a5a69, msgType : 19
[DEBUG] [2023-01-31 13:10:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bb033824226a4a1290b92c61027dd3cb, msgType : 19
[DEBUG] [2023-01-31 13:10:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 12598fe5538d46f2928b24308b40e04f, msgType : 19
[DEBUG] [2023-01-31 13:10:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0f82724862814814a52fe9f3fd648306, msgType : 19
[DEBUG] [2023-01-31 13:10:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 015470f2cb6846689ac905fe3c83af5d, msgType : 19
[DEBUG] [2023-01-31 13:10:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1b9d392bbfdf4a1396944a7508eecdc2, msgType : 19
[DEBUG] [2023-01-31 13:10:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 23a02711d6224413aade56c8e523f41a, msgType : 19
[DEBUG] [2023-01-31 13:10:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3f03181db12041a9a98edd17c368e88a, msgType : 19
[DEBUG] [2023-01-31 13:10:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7db98b6851c54c5abd5253221fc1b7f3, msgType : 19
[DEBUG] [2023-01-31 13:10:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c11ee5703dad4a45af6f9f337a9ccf9a, msgType : 19
[DEBUG] [2023-01-31 13:10:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ea8f5350714d43e0bb2faea05f4bbb01, msgType : 19
[DEBUG] [2023-01-31 13:10:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 84aa71b850d6460c88ebf92752fe9b40, msgType : 19
[DEBUG] [2023-01-31 13:10:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : db8aa7c6df474fcbbf80fc449cea5927, msgType : 19
[DEBUG] [2023-01-31 13:10:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c11ae58072274577b6866b5adbe15790, msgType : 19
[DEBUG] [2023-01-31 13:10:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b92a9731c21445669cfcf9e5a427559b, msgType : 19
[DEBUG] [2023-01-31 13:10:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4e14af7d12d34d95af63aa2bcbb08e21, msgType : 19
[DEBUG] [2023-01-31 13:10:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9821c1cb6eb4474cb5b50803a9cdf509, msgType : 19
[DEBUG] [2023-01-31 13:10:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e1b96b5d8c4c4fe88fbf6f0d4de31c89, msgType : 19
[DEBUG] [2023-01-31 13:10:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 04fbb903e62d4dc9a4ba223791bd9265, msgType : 19
[DEBUG] [2023-01-31 13:10:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d5c01b913b2743218d837fb16fdbd0f2, msgType : 19
[DEBUG] [2023-01-31 13:10:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 218b505a327c424998b5a2d8c57f7359, msgType : 19
[DEBUG] [2023-01-31 13:10:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d21a0635ef1a47e5a8decbe9585c7b5b, msgType : 19
[DEBUG] [2023-01-31 13:10:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 75d71728bf36417cbe97312f30677fb7, msgType : 19
[DEBUG] [2023-01-31 13:10:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ca6a8ee689814512b6efffc67778452b, msgType : 19
[DEBUG] [2023-01-31 13:10:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 43f84cabc81344f1adfdeb0a068237b9, msgType : 19
[DEBUG] [2023-01-31 13:10:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b5da7c781c04ef7a8b37d247d836b1f, msgType : 19
[DEBUG] [2023-01-31 13:10:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a73a3c32a7474f2faa59dcc311290929, msgType : 19
[DEBUG] [2023-01-31 13:10:51] NioEventLoop.run(505) | Selector.select() returned prematurely 4 times in a row for Selector io.netty.channel.nio.SelectedSelectionKeySetSelector@6c21b659.
[DEBUG] [2023-01-31 13:10:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 65b2d0281c3c42d4837e49aa494d717e, msgType : 19
[DEBUG] [2023-01-31 13:10:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f0ce17dd66da4384893736bdd6182bb8, msgType : 19
[DEBUG] [2023-01-31 13:10:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 89bc842155e74a438e00f43ec230de48, msgType : 19
[DEBUG] [2023-01-31 13:10:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 393fc5395e61466c927e68af50f85e0c, msgType : 19
[DEBUG] [2023-01-31 13:10:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f56cf772c91248588ebff0dfea0c7fdf, msgType : 19
[DEBUG] [2023-01-31 13:10:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 69ebaf79562f4341a01ada4916a42889, msgType : 19
[DEBUG] [2023-01-31 13:10:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bac75f84b8c640ada5ca938065579f9b, msgType : 19
[DEBUG] [2023-01-31 13:10:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4fce082dbbfe4f6dafbf81709e233327, msgType : 19
[DEBUG] [2023-01-31 13:10:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8542011b93bb47c59b1da678c0c0773e, msgType : 19
[DEBUG] [2023-01-31 13:11:01] NioEventLoop.run(505) | Selector.select() returned prematurely 3 times in a row for Selector io.netty.channel.nio.SelectedSelectionKeySetSelector@6c21b659.
[DEBUG] [2023-01-31 13:11:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d242e5a59db048738790f19c2a81abf6, msgType : 19
[DEBUG] [2023-01-31 13:11:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c39b87a456514ac9b798c33634290542, msgType : 19
[DEBUG] [2023-01-31 13:11:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f50d9d3ac89d49bb96af88ae4a129b88, msgType : 19
[DEBUG] [2023-01-31 13:11:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0d48316455ce4a739f54247eadfbe902, msgType : 19
[DEBUG] [2023-01-31 13:11:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fe062075db90450eaf57a7585f499757, msgType : 19
[DEBUG] [2023-01-31 13:11:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 638c182aecd24d9faf9a47108e34d15f, msgType : 19
[DEBUG] [2023-01-31 13:11:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 83d49f9177814f28b78d812fba2600d2, msgType : 18
[DEBUG] [2023-01-31 13:11:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7baa3885ffa14b5781a80aee8a5f08ac, msgType : 18
[DEBUG] [2023-01-31 13:11:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 348da0f7fdee4220a7f644898c72888c, msgType : 19
[DEBUG] [2023-01-31 13:11:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 240370a288784513abaf074660416a1c, msgType : 19
[DEBUG] [2023-01-31 13:11:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 579ed764a36a492882135f27b9bd96ec, msgType : 19
[DEBUG] [2023-01-31 13:11:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ae1a28f60f6f4232a0b04307b38f9450, msgType : 19
[DEBUG] [2023-01-31 13:11:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7a0b17f78e2442b882e3a53280142fe0, msgType : 19
[DEBUG] [2023-01-31 13:11:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f34f4fefa2f842918e4743e51dae5371, msgType : 19
[DEBUG] [2023-01-31 13:11:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9c31c2ad40f14e7aa87ffd91a95d9fa5, msgType : 19
[DEBUG] [2023-01-31 13:11:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : de0266303f9e4579a3c77a7a8da085be, msgType : 19
[DEBUG] [2023-01-31 13:11:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c9293c8c67da485a93be68a9ed9e167e, msgType : 19
[DEBUG] [2023-01-31 13:11:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bfa6598ad2e9498ea4b9e083a2a5093e, msgType : 19
[DEBUG] [2023-01-31 13:11:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : db63383c5be3401289077dde81135b6b, msgType : 19
[DEBUG] [2023-01-31 13:11:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 660adf8d304e46acaa4e3d941167c735, msgType : 19
[DEBUG] [2023-01-31 13:11:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5504cb15ad1c4403987933b07fb77d6f, msgType : 19
[DEBUG] [2023-01-31 13:11:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b555c278cbf84bd7b2d8efdd269ce7e1, msgType : 19
[DEBUG] [2023-01-31 13:11:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3cc62a0615c547e1a6effe3d580abc77, msgType : 19
[DEBUG] [2023-01-31 13:11:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6f33613584aa4bd4a49d4d359aa91c5a, msgType : 19
[DEBUG] [2023-01-31 13:11:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 32e38a79676147af867c224f7cfb2883, msgType : 19
[DEBUG] [2023-01-31 13:11:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1b8d2ea7998b49b9a918f8419da503d0, msgType : 19
[DEBUG] [2023-01-31 13:11:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c866738d0fc14daca0c5b8cf3354ca31, msgType : 19
[DEBUG] [2023-01-31 13:11:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e512bc0ec5a246d29833cf8f2720a00c, msgType : 19
[DEBUG] [2023-01-31 13:11:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7fcf4a063bb14f488f5e21b31357e43d, msgType : 19
[DEBUG] [2023-01-31 13:11:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f5078bd767664d4d9c362ee7c7ce8f25, msgType : 19
[DEBUG] [2023-01-31 13:11:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c6e3b675eee34a728dba408ad20d4724, msgType : 19
[DEBUG] [2023-01-31 13:11:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 98f6a68c59484559abbadbd7a606b78d, msgType : 19
[DEBUG] [2023-01-31 13:11:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2a206fd6ab59414d95d9e1af8a60699f, msgType : 19
[DEBUG] [2023-01-31 13:11:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e57ea8eaf2ab491589743eead2e667fa, msgType : 19
[DEBUG] [2023-01-31 13:11:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6001450d81134031a3acc15330f154df, msgType : 19
